CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE
40356442,KOSHER ISLAND,5,2206,VICTORY BOULEVARD,10314,7186985800,50,5/20/14,D,06D,12,A,5/20/14
40356442,KOSHER ISLAND,5,2206,VICTORY BOULEVARD,10314,7186985800,50,5/20/14,D,06E,12,A,5/20/14
40356483,WILKENS FINE FOOD,3,7114,AVENUE U                        ,11234,7184443838,27,5/29/14,D,08C,10,A,5/29/14
40356731,TASTE THE TROPICS ICE CREAM,3,1839,NOSTRAND AVENUE                                                                                     ,11226,7188560821,43,7/14/14,D,06E,12,A,7/14/14
40360045,SEUDA FOODS,3,705,KINGS HIGHWAY                                                                                       ,11223,7183751500,50,10/10/13,D,04L,13,A,10/10/13
40361390,NORDIC DELICACIES,3,6909,3 AVENUE                                                                                            ,11209,7187481874,27,3/5/14,D,10F,3,A,3/5/14
40361521,GLORIOUS FOOD,1,522,EAST   74 STREET,10021,2127372140,3,12/19/13,U,06A,16,B,12/19/13
40361521,GLORIOUS FOOD,1,522,EAST   74 STREET,10021,2127372140,3,12/19/13,U,08A,16,B,12/19/13
40361708,BULLYS DELI,1,759,BROADWAY                                                                                            ,10003,2122549755,27,1/21/14,D,06D,12,A,1/21/14
